"row";"column";"S_Ka";"S_Kb";"Cl_K";"Ar_K";"Ti_K";"Cr_K";"Fe_K";"Scatter_Peak000";"Scatter_Compton000";"s(S_Ka)";"s(S_Kb)";"s(Cl_K)";"s(Ar_K)";"s(Ti_K)";"s(Cr_K)";"s(Fe_K)";"s(Scatter_Peak000)";"s(Scatter_Compton000)";"chisq"
0;0;5218.17;245.994;7436.24;3348.07;1.72512;325.604;1177.57;140889;187399;66.5328;41.3282;79.8243;53.7503;14.9535;24.3651;39.906;378.965;417.282;9.90919
0;1;5307.77;337.129;7219.38;3416.32;29.819;345.309;1299.57;139880;186118;67.1059;42.6193;78.9831;54.1344;16.86;24.1405;40.6652;377.584;415.787;9.71921
0;2;5174.9;249.72;7272.33;3367.32;11.0621;362.659;1266.59;139654;185224;66.5063;41.738;79.1566;53.8576;15.3575;24.7354;40.4355;377.508;415.19;9.48757
0;3;5205.77;192.966;7409.91;3285.89;31.6276;379.1;1186.16;139049;184533;66.3926;40.5436;79.7035;53.4761;15.9732;25.0488;39.6165;376.706;414.427;9.5722
0;4;5357.48;257.387;7396.91;3267.83;26.9893;351.234;1143.81;137806;183733;66.6981;41.2352;79.2421;52.7994;14.9957;24.3721;39.2978;374.904;413.184;9.19521
0;5;5192.54;171.796;7294.72;3182.17;6.80117;301.053;1212.98;136635;183575;65.8445;39.5842;78.8109;52.7942;15.0728;23.1166;39.1346;373.09;412.327;9.80728
0;6;4932.9;293.486;7436.86;3246.15;31.2187;314.513;1126.77;134836;181744;64.418;41.4524;79.473;52.5673;15.7733;24.3505;38.8326;371.221;410.543;9.12089
0;7;5215.84;236.266;7254.43;3157.23;3.20865;335.206;1191.66;135176;181369;65.7235;40.2942;78.486;52.2189;14.8302;23.7595;39.0667;371.044;409.862;9.2478
0;8;4864.02;180.401;7236.37;3066.84;20.765;383.593;1152.48;133001;179560;64.34;40.0995;78.6192;51.9066;15.153;24.1897;38.4466;368.752;408.053;9.215
0;9;4873.95;122.597;7362.11;3004.63;45.7274;317.882;1247.11;132168;179647;64.0047;39.3233;79.0253;51.2932;16.05;22.8828;39.2167;367.656;407.741;9.22335
0;10;4721.54;104.652;7377.47;2868.37;1.00604;379.462;1032.4;131712;178422;63.328;39.185;79.0785;50.2703;14.9099;23.6712;37.9595;366.361;406.1;9.02678
0;11;4719.16;139.109;7205.96;2920.22;14.7809;356.977;940.146;130259;176368;63.2019;38.9261;78.1859;50.5176;14.3972;23.574;37.2911;364.527;403.893;8.6542
0;12;4542.31;87.2723;7251.53;2861.87;25.5743;301.75;871.479;128437;176329;62.3201;38.8404;78.7329;50.2398;15.2011;22.4179;35.9362;362.833;403.77;8.72232
0;13;4445.25;151.412;7445.72;2854.41;7.67986;321.816;916.018;126877;175495;61.6106;39.5966;79.4874;49.7948;13.9273;23.0544;36.8221;360.325;402.211;9.02904
0;14;4327.24;82.115;7209.91;2821.88;30.5184;372.473;955.046;125757;174008;60.8792;38.2764;78.211;49.7554;15.4614;24.0594;35.8877;358.65;400.352;8.41889
0;15;4301.58;125.732;7260.4;2983.31;28.513;295.288;988.015;124964;171999;60.827;38.7688;78.3561;50.6731;14.9775;22.5046;36.4726;356.823;397.742;8.37268
0;16;4207.49;69.9216;7533.23;2798.6;12.0311;302.581;878.224;124249;170581;60.0483;38.0677;79.5933;49.4352;13.738;22.8929;35.4038;356.318;396.716;8.52735
0;17;4025.73;108.893;7276.24;2699.11;75.5752;320.49;910.142;122427;169751;58.9875;37.9751;78.4365;48.8737;16.0152;22.0467;35.5291;353.775;395.268;8.32852
0;18;4039.51;94.7652;7202.31;2724.6;14.6454;296.189;879.039;120945;169106;58.7415;37.6166;77.7695;48.6994;14.4869;21.8165;35.3074;351.674;394.135;8.30478
0;19;3866.66;66.2588;7046.52;2657.51;13.5988;268.777;795.123;118894;167906;57.7971;36.6734;77.0696;48.35;13.1226;21.4081;33.8976;349.337;392.615;8.15643
0;20;3799.89;38.1238;7297.4;2504.71;44.4941;243.463;908.505;118202;167451;57.2352;36.3985;78.0535;47.367;14.6817;21.5261;34.9346;347.873;391.597;8.07834
0;21;3833.46;57.2857;7308.91;2563.08;32.2874;284.238;837.656;116796;167355;57.0619;36.9019;78.1602;47.3404;15.2807;21.8824;34.9235;346.066;391.186;8.05532
0;22;3586.31;43.343;7266.17;2460.36;56.951;258.242;756.194;116361;166092;55.7899;36.8669;78.1114;46.8914;14.6973;20.7057;33.6828;345.728;390.071;8.13676
0;23;3602.5;1.16112;7208.97;2566.57;41.7162;294.847;821.202;115522;164934;55.7537;35.9919;77.735;47.6788;15.1351;21.6199;34.1303;343.882;388.24;8.49713
0;24;3556.96;66.9413;7156.88;2451.31;18.8018;279.594;775.676;113718;164164;55.4271;36.9989;77.4032;46.6964;14.2027;21.0091;33.0239;341.857;387.3;7.73655
0;25;3375.33;23.8728;7106.46;2513.98;43.1822;221.214;741.229;112764;162860;54.237;35.2475;77.0158;47.0478;14.3605;20.9612;33.4157;340.112;385.5;8.22634
0;26;3399;31.2882;7248.79;2465.66;28.8092;289.846;680.27;110828;161570;54.2717;35.0976;77.4994;46.519;14.3157;20.8587;32.2778;337.599;383.81;7.65227
0;27;3393.13;14.8306;7268.54;2410.28;15.9454;181.489;735.591;109456;159903;53.476;34.8256;77.3833;45.6719;13.2702;20.455;33.4004;335.611;381.755;7.83484
0;28;2954.82;98.4356;7134.16;2250;11.3626;178.779;705.903;107882;159198;51.7325;33.8033;76.9751;44.651;14.048;19.6974;31.5995;333.252;380.509;8.28894
0;29;2921.64;15.0961;6904.95;2412.72;38.9956;221.122;786.165;106541;158824;51.1468;34.8173;75.9131;46.0031;14.2356;20.1344;32.0927;331.722;379.917;7.63846
0;30;2950.83;17.4011;6996.62;2466.6;15.9062;202.694;723.124;105846;157380;50.9244;34.9761;76.3969;46.3162;13.0024;19.1774;31.9414;329.954;377.803;7.80838
0;31;2781.08;65.5949;7180.53;2405.59;42.0125;151.613;535.979;103619;155937;49.7754;33.7828;77.0483;45.4966;15.1739;18.8756;30.6301;327.485;376.22;7.80569
0;32;2709.86;76.6344;7018.6;2461.16;21.3318;246.622;665.137;101997;154789;49.1897;33.3287;76.3235;46.1902;13.8065;19.6371;31.3387;325.078;374.545;7.5839
0;33;2551.33;32.815;7021.15;2288.3;23.7918;250.066;601.413;100730;152698;47.8177;32.8524;76.0226;44.762;13.703;19.8067;29.9041;322.698;371.8;7.48264
0;34;2437.91;137.436;7004.92;2070.67;15.3745;179.45;577.73;98307.8;153185;47.1272;31.8458;76.2734;43.595;13.3666;18.6273;29.8814;319.021;371.253;8.02798
0;35;2513.78;20.9936;6839.39;2185.7;14.2592;213.27;588.333;97534.8;152236;47.2727;32.9051;75.0834;43.8127;13.4914;19.7237;30.6278;318.268;370.415;7.1365
0;36;2358.76;146.176;6976.49;2169.28;57.1969;197.026;529.29;97309.4;150045;45.8257;31.0621;75.7114;43.7914;14.1654;19.713;30.2525;317.226;367.84;7.49182
0;37;2359.56;144.843;6952.24;2157.89;36.7586;207.667;591.056;94750.9;149487;46.4062;32.2197;75.8556;43.8334;13.8473;18.7653;29.3316;314.158;366.882;7.29463
0;38;2197.58;101.599;6865.57;2144.32;38.3913;177.407;624.312;94727.2;148315;44.6677;31.4083;75.2023;43.8588;14.1128;18.3729;29.4125;313.344;365.221;7.24235
0;39;2030.6;114.702;6882.99;2157.54;2.48018;170.768;533.313;92648.3;147773;43.3421;31.1559;75.2925;43.535;12.8571;17.8991;28.2151;310.089;363.82;7.68982
0;40;2131.65;150.618;7055.21;2144.41;30.6304;167.897;596.263;90586;147890;43.5363;30.3962;75.8208;43.2147;13.9797;19.2254;29.1651;307.588;363.571;7.54899
0;41;2025.84;93.713;6872.26;2095.95;56.6388;139.922;498.205;90054.3;146491;42.6505;30.944;74.9275;42.9626;14.2529;17.4656;28.5766;306.485;361.948;7.15029
0;42;1911.53;63.933;6819.04;2037.68;53.2749;186.715;498.074;89158.6;146076;42.6567;31.5469;74.8772;42.6007;13.822;18.3923;28.3174;305.069;361.169;7.30332
0;43;1910.77;114.789;6776.34;2048.86;50.3678;146.698;486.069;88969.2;145819;41.9899;30.3558;74.406;42.3888;13.9203;17.9572;27.8363;304.449;360.581;7.59018
