"row";"column";"S_Ka_KL3a";"S_Kb_KM3b";"Cl_Ka_KL3a";"Cl_Kb_KM3b";"Ar_K_KL3";"Ar_K_KM3";"Cr_K_KL3";"Cr_K_KM3";"Fe_K_KL3";"Fe_K_KM3";"Ni_K_KL3";"Ni_K_KM3";"Cu_K_KL3";"Cu_K_KM3";"Au_L_L3M5*";"Au_L_L3N5*";"Au_L_L3M1*";"Au_L_L3O45*";"Au_M_M5N7";"Au_M_M4N2";"Au_M_M3N5";"Au_M_M3N1";"Au_M_M2N4"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;1;22;24;103;28;21;11;16;4;42;20;8;33;26;23;7507;1415;321;1308;57;14;24;11;32
0;2;1;3;2;6;19;3;10;2;30;10;6;1;6;2;337;165;21;309;1;1;1;3;6
0;3;44;39;133;59;38;15;50;24;114;40;32;51;65;46;10601;2566;505;6632;61;17;36;32;55
0;4;35;37;29;29;33;37;157;73;483;97;76;53;131;61;742;2910;88;25783;36;45;38;38;35
0;5;26;20;24;13;28;14;131;50;414;100;71;32;108;37;204;1706;48;15995;24;25;24;24;17
0;6;42;43;131;49;23;23;58;24;198;51;31;61;90;41;10075;2380;531;7593;70;14;43;32;49
0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;8;25;18;82;25;13;5;8;8;21;7;11;25;12;21;5600;1089;283;1074;57;10;20;16;22
0;9;106;105;353;118;47;36;46;26;134;49;30;105;89;79;24992;4682;1249;4866;232;36;78;43;119
0;10;107;73;382;128;48;35;63;32;144;48;28;114;105;60;25155;4621;1262;5033;255;22;71;54;138
0;11;83;101;375;111;51;36;61;25;146;51;38;119;97;67;24898;4573;1210;4932;255;25;89;48;117
0;12;87;94;374;101;56;31;45;35;151;43;26;95;96;54;24827;4730;1198;5058;221;33;85;55;108
0;13;105;90;362;82;54;26;55;23;159;34;42;104;96;96;24758;4653;1193;4919;234;29;79;54;97
0;14;118;78;382;104;58;27;57;44;150;43;41;100;109;64;24817;4590;1204;4966;220;28;66;54;110
0;15;123;77;349;103;53;25;41;25;135;44;35;105;76;70;24748;4528;1200;5078;209;33;80;48;104
0;16;109;96;389;99;47;23;43;29;117;36;36;118;81;74;24721;4518;1163;4918;238;30;76;50;93
0;17;115;89;322;92;53;20;36;27;104;31;30;113;77;64;24328;4553;1194;5004;256;27;82;57;100
0;18;86;88;354;95;74;31;53;26;122;27;36;94;76;80;24396;4598;1258;5030;230;21;86;65;101
0;19;96;105;369;118;56;23;46;23;115;39;36;107;81;88;24526;4674;1159;4965;211;30;100;54;113
0;20;95;99;346;99;44;23;58;30;149;30;47;120;82;74;24466;4544;1189;4906;224;31;71;38;97
0;21;101;68;386;119;46;33;36;30;133;46;28;104;103;69;24712;4589;1152;4995;217;33;69;68;121
0;22;87;79;390;90;54;26;41;30;101;33;38;98;69;81;24297;4540;1203;5147;219;28;79;46;99
0;23;89;92;367;107;70;21;42;25;107;34;29;107;71;68;24607;4614;1145;4934;212;35;89;55;112
0;24;103;87;372;107;56;32;41;18;94;37;30;105;65;75;24465;4554;1163;4940;228;28;75;67;115
0;25;117;94;391;92;65;34;51;34;92;31;35;121;93;69;24465;4529;1226;4899;226;18;84;58;97
0;26;112;87;360;106;58;27;54;31;111;38;33;99;78;65;24548;4567;1193;5012;214;25;81;37;117
0;27;100;102;343;110;57;19;43;21;93;34;41;101;83;68;24780;4508;1193;4900;222;27;76;60;116
0;28;97;86;373;89;42;19;42;28;117;31;26;91;84;83;24308;4422;1176;5082;247;29;87;61;103
