"row";"column";"S_Ka";"S_Kb";"Cl_Ka";"Cl_Kb";"Ar_K";"Cr_K";"Fe_K";"Ni_K";"Cu_K";"Au_L";"Au_M";"Scatter_Peak000";"Scatter_Compton000";"s(S_Ka)";"s(S_Kb)";"s(Cl_Ka)";"s(Cl_Kb)";"s(Ar_K)";"s(Cr_K)";"s(Fe_K)";"s(Ni_K)";"s(Cu_K)";"s(Au_L)";"s(Au_M)";"s(Scatter_Peak000)";"s(Scatter_Compton000)";"chisq"
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.87131;6.75109;6.70898;6.86913;7.54073;7.99087;8.2204;8.41617;8.50451;9.9462;9.10118;8.45006;8.42241;0
0;1;3.74254;1.56773;137.326;17.9305;9.84545;12.457;53.6704;2.38287;4.85931;21333.8;75.8538;2554.64;1903.55;6.3045;6.6272;13.0141;7.09231;6.79317;6.65931;9.155;6.61673;8.63011;145.563;12.3407;60.109;60.9988;1.0346
0;2;1.38835;2.57377;2.83211;3.89303;20.4536;16.6078;36.474;0.848636;4.42824;1010.49;2.76534;555.908;763.307;4.86133;4.77823;4.76782;5.02979;6.53015;6.0819;7.77462;6.19045;6.24543;32.4704;6.44478;29.0016;32.7793;0.508103
0;3;26.4298;2.48053;190.186;18.1412;26.3781;84.4449;251.697;33.0501;47.9035;30471.9;75.1397;13700.6;10906.2;9.48424;7.85728;15.6858;9.00437;9.01551;11.2729;17.3153;9.5029;13.7085;176.191;13.9645;136.454;132.362;1.45147
0;4;4.49267;7.89762;5.12848;3.09293;3.79459;273.619;1040.99;132.093;236.753;1926.99;1.32951;57873.2;40354.6;7.27563;8.10381;7.65252;7.64118;8.45943;19.8268;34.1881;15.2643;19.0657;49.4172;10.3421;274.755;242.834;3.25875
0;5;5.98543;2.07998;5.61094;3.09192;4.64778;253.354;948.985;67.7905;219.886;518.496;19.7819;35787;24762.6;6.74045;6.03913;6.3853;5.68029;7.29608;17.9786;31.618;12.1333;17.4462;26.7818;7.94175;215.436;189.684;2.29652
0;6;4.36474;30.9725;196.943;34.4334;2.20362;88.7843;404.111;14.8587;85.8593;29060;152.024;16696.3;11442.2;8.04278;9.68919;15.7457;8.61567;6.85051;11.6547;21.6965;8.61295;15.1;171.943;16.0052;148.673;136.889;1.52641
0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;6.87131;6.75109;6.70898;6.86913;7.54073;7.99087;8.2204;8.41617;8.50451;9.9462;9.10118;8.45006;8.42241;0
0;8;9.93382;3.26602;104.542;18.543;5.53448;3.90774;26.064;6.69937;4.16416;16022.2;113.517;2139.72;1616.18;6.65048;5.77181;11.2285;6.71002;6.10046;6.04008;7.32801;6.324;6.78116;126.403;13.0551;55.5782;55.9879;0.852343
0;9;41.566;48.8304;528.927;98.2773;12.3976;45.2776;260.772;1.1807;30.9195;70659.4;514.288;9930.82;7487.25;14.3405;14.3114;25.1516;14.5152;9.92406;10.1679;18.4359;8.87967;16.6011;264.933;28.5451;117.98;119.217;1.9684
0;10;76.7258;6.77493;572.488;130.579;16.5873;52.2374;274.991;4.02169;31.1593;70814;575.021;9835.23;7446.07;15.2368;11.584;25.8856;15.5383;9.95397;10.7147;18.7443;8.94872;17.1925;265.507;29.4977;117.837;119.051;1.90181
0;11;19.7493;61.1702;558.979;128.772;38.9004;76.3034;288.17;6.59753;57.3863;70664.7;538.701;9783.17;7475.3;13.3515;14.9005;26.205;15.6351;11.4327;11.3941;19.1145;9.45817;17.499;265.156;29.2857;117.244;118.95;1.90452
0;12;34.4637;32.432;581.283;112.492;18.2739;53.57;277.57;11.9246;34.6082;70359.4;473.361;9743.8;7482.66;14.2915;14.0027;26.6055;15.01;11.0426;9.98381;18.6502;8.85376;16.8134;264.589;28.455;117.316;119.008;1.96501
0;13;59.6535;4.94883;586.131;80.8518;28.5857;54.9382;297.308;29.064;26.2987;70531.5;528.503;10008.4;7449.67;14.9788;11.8665;25.888;13.6162;10.7056;10.924;19.7008;10.4194;15.419;264.803;29.1169;118.098;118.947;1.9254
0;14;69.6776;20.4894;596.176;120.552;11.2566;76.7861;280.845;1.22708;48.0337;69954;525.269;10022.1;7505.71;14.6947;12.8363;26.3755;14.7936;9.48917;11.1497;18.969;9.70591;17.7559;263.738;28.3843;118.21;119.268;1.89659
0;15;83.0098;13.6503;556.502;93.4889;22.4097;34.9205;267.929;4.24697;21.5226;70447.5;432.5;10155.5;7358.06;15.3715;12.5482;25.7701;14.2353;10.2489;9.13814;18.6775;9.06013;15.8735;264.57;27.287;118.474;118.389;1.92425
0;16;61.3076;45.9464;590.211;102.131;32.3392;51.0964;192.74;4.16439;4.33292;69838.1;509.677;9705.59;7551.2;14.7333;14.1343;26.5428;14.4258;10.343;9.95381;16.5354;8.99993;16.1073;263.73;28.4089;117.618;119.575;1.75137
0;17;78.9999;38.1873;553.769;92.021;38.3509;38.8415;154.668;13.1721;10.7552;69510.9;586.656;9964.63;7510.15;15.6023;13.2252;25.3873;13.953;11.0595;9.80634;15.6854;9.0849;16.0496;263.006;29.7649;118.564;119.593;1.98845
