"row";"column";"S_Kb";"Cl_Ka";"Cl_Kb";"Ar_K";"Cr_K";"Fe_K";"Ni_K";"Cu_K";"Au_L";"Au_M";"Scatter_Peak000";"Scatter_Compton000";"s(S_Kb)";"s(Cl_Ka)";"s(Cl_Kb)";"s(Ar_K)";"s(Cr_K)";"s(Fe_K)";"s(Ni_K)";"s(Cu_K)";"s(Au_L)";"s(Au_M)";"s(Scatter_Peak000)";"s(Scatter_Compton000)";"chisq"
0;0;1.70172;70.1294;9.56649;6.29381;1.21013;5.43469;2.86335;7.86651;5791.56;54.9575;91.2439;39.0193;4.98632;9.02564;5.1285;5.41799;5.6283;5.97032;5.94755;6.00845;76.635;9.00676;13.3991;15.1348;0.411682
0;1;101.214;1102.58;153.127;47.481;21.8641;72.3448;2.8931;11.0069;83021;1220.68;1198.51;947.34;17.8973;36.109;17.5863;11.7621;8.48745;11.6144;8.27663;14.603;288.914;39.7886;49.3437;61.3281;1.368
0;2;195.636;3704.77;524.416;131.138;57.106;188.457;11.4633;64.4842;273794;4145.38;4421.8;2806.01;30.2774;66.1392;33.1791;22.5564;16.0061;20.4165;18.1029;28.3813;524.935;74.4422;92.7725;110.471;2.19936
0;3;161.659;3777.02;558.578;178.381;87.008;233.124;23.5158;115.637;271389;4159.46;4699.96;3120.87;29.1693;66.4488;33.7018;23.1137;16.8256;22.0693;16.5403;29.6456;522.878;73.6162;94.5523;112.389;2.11515
0;4;121.865;2232.86;316.109;92.2923;56.3897;103.217;8.12862;61.1908;158543;2285.66;2818.99;1838.88;23.3508;51.2756;25.2172;17.1481;12.0976;14.719;11.9667;21.5049;399.436;55.0605;73.1504;86.3108;1.7859
0;5;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;6;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;7;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;8;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;9;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;10;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;11;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;12;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;13;6.05756;76.9045;9.85987;2.8931;0.070191;10.9646;0.102795;9.44583;8151.67;118.199;113.284;43.3909;5.42408;9.56276;5.7527;5.46172;5.63772;6.51801;5.94801;6.32334;90.8089;12.4038;15.576;17.8807;0.472791
0;14;187.672;3752.49;519.936;125.477;97.4965;362.566;5.55209;42.5125;278337;4187.89;4399.45;2666.95;30.4933;66.6892;33.4149;21.9289;16.9071;25.353;17.7665;28.9493;529.545;75.0977;93.0468;110.359;2.34363
0;15;162.496;3834.54;590.026;93.0966;127.768;394.361;36.2621;67.1091;276190;4073.05;4256.81;3074.42;30.0326;67.307;34.5396;22.0719;17.4542;25.4552;17.8226;29.0146;527.393;73.5636;91.8804;111.812;2.23188
0;16;185.75;3809.99;602.255;102.298;96.9282;326.801;34.9062;29.6897;273979;4195.31;4539.22;3149.2;30.3374;67.0739;34.5656;21.9319;16.1326;23.5462;16.4277;28.1641;525.22;74.5409;93.5212;112.102;2.28562
0;17;218.123;3593.58;584.692;130.44;50.8307;281.049;32.2183;87.2258;275945;4233.76;4572.72;3038.09;30.7805;65.3006;33.8538;21.695;15.6653;22.7813;16.667;28.6096;527.08;74.9402;94.0134;112.349;2.24249
0;18;154.085;3832.28;555.333;124.213;88.875;255.549;32.4307;69.6851;278491;4259.2;4495.5;2929.26;29.8109;67.2289;33.9456;22.2983;16.6329;22.1665;18.5595;28.6927;529.452;74.611;92.871;111.519;2.1519
0;19;198.671;3773.66;511.854;141.56;84.4785;218.455;59.2416;176.075;277412;4128.45;4413.93;2982.69;30.6109;66.8603;32.9525;22.5202;15.8448;21.2815;18.0453;30.2401;528.509;73.7772;93.2633;111.744;2.28883
0;20;200.438;3741.44;569.067;120.131;106.368;204.892;28.7994;103.695;279344;4275.35;4518.65;2790.06;30.3765;66.4237;34.02;22.3154;16.9539;20.9103;16.3673;29.8445;530.252;74.767;93.0718;110.726;2.23131
0;21;189.194;3858.97;518.399;127.162;92.2715;217.374;11.6531;49.8113;279642;4281.47;4345.89;3073.17;30.4395;67.2761;32.8941;21.9737;16.4023;21.8198;17.5646;28.7134;530.617;75.0787;92.6202;112.905;2.26636
0;22;221.833;3774.1;527.741;166.57;26.8925;268.614;27.2558;41.508;280264;4123.8;4630.64;2975.4;31.6352;67.073;33.6885;23.8711;12.9738;21.7049;18.5905;29.4857;531.311;74.8238;94.1192;112.116;2.29394
0;23;226.194;3795.06;593.357;77.7962;50.432;199.022;13.5655;35.5127;276859;4446.96;4543.81;3303.92;30.9483;66.8171;34.0329;20.1593;14.972;20.3934;18.286;29.156;528.157;75.8475;94.261;114.022;2.10372
0;24;236.425;3835.3;521.325;154.881;60.1998;167.274;27.415;30.148;278784;4230.54;4668.02;3139.26;31.3206;67.3621;33.6591;23.2369;15.5743;21.0311;17.343;28.9777;529.825;74.928;94.9401;113.791;2.09688
0;25;195.422;3936.19;552.042;101.526;113.805;246.793;37.5246;109.272;280289;4345.41;4484.6;3057.07;30.7734;68.1653;33.5346;21.5916;17.0942;21.9197;18.2234;29.531;531.257;75.3408;92.9175;112.344;2.29079
0;26;208.801;3763.56;505.664;123.985;38.2979;172.759;43.3173;140.558;279716;4155.3;4505.78;2897.99;31.0571;66.7463;33.1731;22.2962;14.5867;20.161;18.3435;30.2363;530.626;74.5542;93.5338;111.363;2.23018
0;27;152.987;3708.24;575.144;144.578;38.6558;207.875;55.4336;123.744;279525;4181.78;4315.58;2938.27;29.8745;66.4784;34.5731;23.284;14.5991;20.731;18.3913;29.7397;530.534;74.6532;92.2231;111.324;2.27099
0;28;160.089;3839.16;541.809;99.7854;65.1372;177.989;5.33996;66.3434;278226;4116.88;4424.44;2800.93;30.0145;67.389;33.6775;21.598;16.1565;20.535;17.4692;28.7352;529.267;73.8785;93.0815;110.933;2.39756
0;29;171.505;3819.27;600.614;108.996;85.6292;239.15;4.23043;105.251;278124;4136.89;4565.9;2693.84;29.6626;66.9315;34.4745;22.087;16.3781;22.7579;18.2174;29.7409;529.166;74.4938;93.8996;110.657;2.11216
0;30;228.658;3755.83;589.902;122.661;91.7928;234.095;3.75514;133.053;278419;4172.55;4652.18;2989.46;30.979;66.5613;34.3287;22.6187;16.6719;21.945;17.9355;30.2675;529.336;74.3082;94.286;112.058;2.07266
0;31;165.231;3793.94;570.923;112.026;66.1523;295.937;5.80378;1.98954;277703;4074.85;4445.4;2730.56;30.3389;67.1367;34.4322;22.5562;15.0835;22.6999;17.8634;28.3753;528.789;74.2219;93.0839;110.579;2.18434
0;32;178.103;3860.25;633.12;25.4545;77.109;201.717;17.3563;95.085;279399;4322.31;4604.58;2977.42;30.3123;67.4775;34.4846;19.2749;15.7993;21.2545;17.9656;29.3484;530.298;75.6293;94.2588;112.583;2.32068
0;33;184.108;3836.28;573.141;150.936;61.3905;209.791;2.56544;64.6904;281349;4322.22;5001.73;3135.03;30.3571;67.3408;34.1113;22.8719;15.875;22.0563;18.1798;29.0033;532.198;75.426;96.9115;113.754;2.27137
0;34;176.06;3932.72;569.242;139.306;66.5983;313.733;5.47213;33.3104;280816;4219.3;4763.63;3321.64;30.2686;68.0258;34.2299;23.1497;15.5633;24.4411;18.6051;28.8935;531.95;74.305;95.9651;115.029;2.33177
0;35;228.387;3858.3;566.891;174.277;69.7193;276.24;31.5161;120.669;282762;4117.56;4663.75;3029.59;31.5072;67.4712;33.8938;22.8667;16.198;23.7223;17.8383;30.0803;533.601;74.1523;94.4245;112.762;2.15269
0;36;41.1664;745.485;92.5692;16.5186;6.5147;24.7265;12.8265;26.2164;54570.1;756.361;949.336;551.409;13.4835;29.5319;13.9052;8.86303;6.52407;7.7547;7.67242;13.1025;234.418;31.7993;42.2929;49.184;1.1049
0;37;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;38;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;39;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
0;40;0;0;0;0;0;0;0;0;0;0;0;0;6.54847;6.59132;6.73698;7.41381;7.93193;8.16945;8.37335;8.46539;9.91481;8.73281;8.38691;8.35912;0
